state,date,res_dex,num_devices
MD,2020-03-22,32.178101,322269
MD,2020-03-23,38.182301,326837
MD,2020-03-24,38.8629,329577
MD,2020-03-25,35.304699,322342
MD,2020-03-26,44.5331,333032
MD,2020-03-27,48.349499,336262
MD,2020-03-28,33.749599,324874
MD,2020-03-29,31.3009,325582
MD,2020-03-30,49.266399,339762
MD,2020-03-31,30.117001,326433
MD,2020-04-01,29.7911,312792
MD,2020-04-02,31.063601,308595
MD,2020-04-03,34.880001,312242
MD,2020-04-04,29.0504,301517
MD,2020-04-05,23.990499,304413
MD,2020-04-06,30.905899,309100
MD,2020-04-07,27.9538,316976
MD,2020-04-08,31.8349,311042
MD,2020-04-09,26.8517,313886
MD,2020-04-10,33.175098,307625
MD,2020-04-11,32.498798,304873
MD,2020-04-12,17.068899,295205
